Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
Familia,CCch,Familia.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""familia"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""jiā"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de una familia (padres, abuelos y dos niños) dentro de la silueta de una casa, con un cielo azul y nubes, y un césped verde. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el verde y los tonos de las ilustraciones de las personas y la casa.",No,Anclaje,Chino Mandarín,,Desconocido,111,,,Sustantivo,Ilustración,Icono,,
Compañero/a de clase,CCch,compaeros.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""compañero/a de la clase"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""tóngxué"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de tres estudiantes sentados en una mesa, estudiando con libros y una computadora portátil, con estanterías llenas de libros al fondo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de los estudiantes.",No,Anclaje,Chino Mandarín,,Desconocido,112,,,Sustantivo,Foto,Icono,,
Amigo/a,CCch,amigo.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""amigo/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""péngyou"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de un grupo de cuatro jóvenes riendo y caminando juntos. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,113,,,Sustantivo,Foto,Icono,,
Mucho,CCch,mucho.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""mucho"" en negro. En la parte inferior izquierda, hay un cuadro blanco con un borde azul que contiene una ilustración de un plato lleno de cerezas rojas y la palabra ""MUCHO"" en negro. A la derecha del cuadro, hay una burbuja de diálogo blanca con un borde azul que contiene dos caracteres chinos en negro y la frase ""bù shǎo"" en rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración de las cerezas.",No,Anclaje,Chino Mandarín,,Desconocido,114,,,Adjetivos,Ilustración,Icono,,
Poco,CCch,poco.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""poco"" en negro. En la parte inferior izquierda, hay un cuadro blanco con un borde azul que contiene una ilustración de un plato con pocas cerezas rojas y la palabra ""POCO"" en negro. A la derecha del cuadro, hay una burbuja de diálogo blanca con un borde azul que contiene un carácter chino en negro y la palabra ""shǎo"" en rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración de las cerezas.",No,Anclaje,Chino Mandarín,,Desconocido,115,,,Adjetivos,Ilustración,Icono,,
Bonito,CCch,bonito.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""bonito"" en negro. En la parte inferior derecha, hay una burbuja de diálogo blanca con un borde azul que contiene un carácter chino en negro y la palabra ""piàoliang"" en rojo. A la izquierda de la burbuja, hay una fotografía de un hombre con gafas de sol y la frase ""MUY BONITO"" en un cuadro de texto blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hombre.",Si,Anclaje,Chino Mandarín,,Desconocido,116,,La imagen está completamente apartada a lo que dice el texto. ningúna cosa bonita se ve en esa imagen.,Adjetivos,meme,índice,No hay un objeto bonito. Solo podemos inferir que hay uno en base a que el hombre está viendo algo que lo sea,
Algún,CCch,adjetivo.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""algún"" en negro. En la parte inferior izquierda, hay una lista de palabras en rojo: ""Algún"", ""Alguno"", ""Alguna"", ""Algunos"", ""Algunas"". A la derecha de la lista, hay una burbuja de diálogo blanca con un borde azul que contiene un carácter chino en negro y la palabra ""xiē"" en rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",Si,Anclaje,Chino Mandarín,,Desconocido,117,,Lo pongo solo por la total y completa ausencia de codigos,Adjetivos,Tipografía,Icono,,
Demasiado,CCch,demasiado.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""demasiado"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la frase ""tài(...le)"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de una mujer con cabello largo y rubio, sentada en un sofá rojo, con un cuadro de texto amarillo que dice ""¡EXTREMADAMENTE OBVIO!"". Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul, el amarillo y los tonos de la fotografía de la mujer.",Si,Anclaje,Chino Mandarín,,Desconocido,118,,"La imagen parece ser sacada de un realiti, podria tener muchas otras connotaciones. Pero demasiado no creo que sea una que la represente para nada",Adjetivos,meme,índice,"Aquello que es “demasiado” no está explicito, asi que por la reaccion de la persona de la imagen es que podemos inferir que es “demasiado”",
Pequeño,CCch,chico.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""pequeño/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xiǎo"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de un perro grande y un perro pequeño, con una flecha roja apuntando al perro pequeño. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de las ilustraciones de los perros.",No,Anclaje,Chino Mandarín,,Desconocido,119,,,Adjetivos,Ilustración,Icono,,
Eso,CCch,eso.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""aquello/a"" en negro. A la derecha de la burbuja, se lee ""ese/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nà"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de un niño señalando un punto rojo en la esquina superior de un cuadro blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración del niño.",No,Anclaje,Chino Mandarín,,Desconocido,120,,,Adjetivos,Ilustración,Icono,,
Delicioso,CCch,delicioso.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""delicioso/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""hǎochī"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de Mr. Bean comiendo con una expresión de placer, y la palabra ""DELICIOSO"" en un cuadro de texto blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de Mr. Bean.",No,Anclaje,Chino Mandarín,,Desconocido,121,,,Adjetivos,meme,índice,Por la reaccion de mr bean se puede inferir que es algo delicioso,
Muy,CCch,muy.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""muy"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""hěn"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay un cuadro rojo con la palabra ""MUY"" en blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",Si,Anclaje,Chino Mandarín,,Desconocido,122,,"Les falta mucho contexto a la plabra muy. muy que? no tiene la prescencia de ningun codigo que la pueda dejar mas clara, solo toca inferir que se pueda ocupar en todas las ocaciones",Adjetivos,Tipografía,Icono,,
Diez,CCch,diez.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""diez"" en negro. En la parte inferior izquierda, hay un cuadro blanco con un borde azul que contiene un signo de suma en negro y la palabra ""shí"" en rojo. A la derecha del cuadro, hay tres fotografías de manos haciendo diferentes gestos: un puño cerrado, dos dedos cruzados y dos dedos índices cruzados. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,123,,,Números,Foto,Simbolo,Es el gesto utilizado en China para decir 10,
Nueve,CCch,nueve.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""nueve"" en negro. En la parte inferior izquierda, hay un cuadro blanco con un borde azul que contiene un carácter chino en negro y la palabra ""jiǔ"" en rojo. A la derecha del cuadro, hay una fotografía de una mano haciendo el gesto del número nueve. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,124,,,Números,Foto,Simbolo,,
Ocho,CCch,ocho.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""ocho"" en negro. En la parte inferior izquierda, hay un cuadro blanco con un borde azul que contiene un carácter chino en negro y la palabra ""bā"" en rojo. A la derecha del cuadro, hay una fotografía de una mano haciendo el gesto del número ocho. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,125,,,Números,Foto,Simbolo,,
Siete,CCch,siete.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""siete"" en negro. En la parte inferior izquierda, hay un cuadro blanco con un borde azul que contiene un carácter chino en negro y la palabra ""qī"" en rojo. A la derecha del cuadro, hay una fotografía de una mano haciendo el gesto del número siete. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,126,,,Números,Foto,Simbolo,,
